material_id,kind,programme_id,blocks,claim_references,programme_fact_references,review_status
generic-industry-cv,industry-cv,,5,10,0,draft-human-verification-required
generic-academic-cv,academic-cv,,5,9,0,draft-human-verification-required
generic-project-descriptions,project-descriptions,,12,48,0,draft-human-verification-required
generic-linkedin-summary,linkedin-summary,,1,2,0,draft-human-verification-required
generic-github-profile,github-profile,,5,10,0,draft-human-verification-required
generic-website-content,website-content,,5,9,0,draft-human-verification-required
generic-interview-answers,interview-answers,,3,6,0,draft-human-verification-required
generic-recommender-brief,recommender-brief,,5,9,0,draft-human-verification-required
galway-programme-fit,programme-fit,galway,2,3,4,draft-human-verification-required
galway-sop-materials,sop-materials,galway,3,5,4,draft-human-verification-required
galway-personal-statement,personal-statement,galway,2,4,3,draft-human-verification-required
galway-research-interest,research-interest,galway,3,5,5,draft-human-verification-required
galway-professor-email,professor-email,galway,1,4,2,draft-human-verification-required
galway-scholarship-materials,scholarship-materials,galway,2,5,3,draft-human-verification-required
ucd-programme-fit,programme-fit,ucd,2,3,4,draft-human-verification-required
ucd-sop-materials,sop-materials,ucd,3,5,4,draft-human-verification-required
ucd-personal-statement,personal-statement,ucd,2,4,3,draft-human-verification-required
ucd-research-interest,research-interest,ucd,3,5,5,draft-human-verification-required
ucd-professor-email,professor-email,ucd,1,4,2,draft-human-verification-required
ucd-scholarship-materials,scholarship-materials,ucd,2,5,3,draft-human-verification-required
ul-programme-fit,programme-fit,ul,2,3,4,draft-human-verification-required
ul-sop-materials,sop-materials,ul,3,5,4,draft-human-verification-required
ul-personal-statement,personal-statement,ul,2,4,3,draft-human-verification-required
ul-research-interest,research-interest,ul,3,5,5,draft-human-verification-required
ul-professor-email,professor-email,ul,1,4,2,draft-human-verification-required
ul-scholarship-materials,scholarship-materials,ul,2,5,3,draft-human-verification-required
